time,from_app,from_port,to_app,to_port,txbytes,txpackets,rxbytes,rxpackets,dropbytes,droppackets
1398852569.560165,tee,out1,limit,input,10235927664,64246396,10235927664,64246396,0,0
1398852569.560165,nic2,tx,tee,in,10235927664,64246396,10235927664,64246396,0,0
1398852569.560165,filter,output,sink2,in,196729678,2394276,196729678,2394276,0,0
1398852569.560165,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852569.560165,limit,output,sink1,in,5079833209,31884463,5079833209,31884463,0,0
1398852570.559624,repeat,output,nic1,rx,10507976873,65953932,10507976873,65953932,0,0
1398852570.559624,tee,out2,filter,input,10504760460,65933742,10504760460,65933742,0,0
1398852570.559624,tee,out1,limit,input,10504760460,65933742,10504760460,65933742,0,0
1398852570.559624,nic2,tx,tee,in,10504760460,65933742,10504760460,65933742,0,0
1398852570.559624,filter,output,sink2,in,201896506,2457158,201896506,2457158,0,0
1398852570.559624,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852570.559624,limit,output,sink1,in,5179833428,32512142,5179833428,32512142,0,0
1398852571.560360,repeat,output,nic1,rx,10744185524,67436503,10744185524,67436503,0,0
1398852571.560360,tee,out2,filter,input,10740968526,67416313,10740968526,67416313,0,0
1398852571.560360,tee,out1,limit,input,10740968526,67416313,10740968526,67416313,0,0
1398852571.560360,nic2,tx,tee,in,10740968526,67416313,10740968526,67416313,0,0
1398852571.560360,filter,output,sink2,in,206436355,2512410,206436355,2512410,0,0
1398852571.560360,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852571.560360,limit,output,sink1,in,5277223366,33123441,5277223366,33123441,0,0
1398852572.557404,repeat,output,nic1,rx,10952988512,68747063,10952988512,68747063,0,0
1398852572.557404,tee,out2,filter,input,10949770461,68726873,10949770461,68726873,0,0
1398852572.557404,tee,out1,limit,input,10949770461,68726873,10949770461,68726873,0,0
1398852572.557404,nic2,tx,tee,in,10949770461,68726873,10949770461,68726873,0,0
1398852572.557404,filter,output,sink2,in,210449375,2561250,210449375,2561250,0,0
1398852572.557404,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852572.557404,limit,output,sink1,in,5377223534,33751102,5377223534,33751102,0,0
1398852573.558704,repeat,output,nic1,rx,11167009630,70090387,11167009630,70090387,0,0
1398852573.558704,tee,out2,filter,input,11163792967,70070197,11163792967,70070197,0,0
1398852573.558704,tee,out1,limit,input,11163792967,70070197,11163792967,70070197,0,0
1398852573.558704,nic2,tx,tee,in,11163792967,70070197,11163792967,70070197,0,0
1398852573.558704,filter,output,sink2,in,214562757,2611311,214562757,2611311,0,0
1398852573.558704,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852573.558704,limit,output,sink1,in,5478528002,34386943,5478528002,34386943,0,0
1398852574.558486,repeat,output,nic1,rx,11437147897,71785924,11437147897,71785924,0,0
1398852574.558486,tee,out2,filter,input,11433930990,71765734,11433930990,71765734,0,0
1398852574.558486,tee,out1,limit,input,11433930990,71765734,11433930990,71765734,0,0
1398852574.558486,nic2,tx,tee,in,11433930990,71765734,11433930990,71765734,0,0
1398852574.558486,filter,output,sink2,in,219754750,2674500,219754750,2674500,0,0
1398852574.558486,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852574.558486,limit,output,sink1,in,5578527325,35014593,5578527325,35014593,0,0
1398852575.558630,repeat,output,nic1,rx,11707285963,73481461,11707285963,73481461,0,0
1398852575.558630,tee,out2,filter,input,11704069357,73461271,11704069357,73461271,0,0
1398852575.558630,tee,out1,limit,input,11704069357,73461271,11704069357,73461271,0,0
1398852575.558630,nic2,tx,tee,in,11704069357,73461271,11704069357,73461271,0,0
1398852575.558630,filter,output,sink2,in,224946721,2737688,224946721,2737688,0,0
1398852575.558630,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852575.558630,limit,output,sink1,in,5679833294,35650449,5679833294,35650449,0,0
1398852576.556408,repeat,output,nic1,rx,11976118437,75168807,11976118437,75168807,0,0
1398852576.556408,tee,out2,filter,input,11972902142,75148617,11972902142,75148617,0,0
1398852576.556408,tee,out1,limit,input,11972902142,75148617,11972902142,75148617,0,0
1398852576.556408,nic2,tx,tee,in,11972902142,75148617,11972902142,75148617,0,0
1398852576.556408,filter,output,sink2,in,230113456,2800569,230113456,2800569,0,0
1398852576.556408,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852576.556408,limit,output,sink1,in,5778527945,36269951,5778527945,36269951,0,0
1398852577.555941,repeat,output,nic1,rx,12227986370,76749670,12227986370,76749670,0,0
1398852577.555941,tee,out2,filter,input,12224769780,76729480,12224769780,76729480,0,0
1398852577.555941,tee,out1,limit,input,12224769780,76729480,12224769780,76729480,0,0
